Item ID,Item Title,Category,Institution Name,Communities,Storage Location,Holding Since
4001,Ceremonial rattle,sacred_object,Great Lakes University Museum,Sault Ste. Marie Tribe of Chippewa Indians,Sacred storage,2022-04-01
5001,Ceremonial staff,object_of_cultural_patrimony,Great Lakes University Museum,Little Traverse Bay Bands of Odawa Indians,Sacred storage,2022-01-15
2001,Copper beads,associated_funerary_object,Great Lakes University Museum,Grand Valley State University Museum,Room D1,1999-04-04
2006,Copper bracelet,associated_funerary_object,Great Lakes University Museum,Unaffiliated,Room D2,2015-03-03
3001,Copper pendant,unassociated_funerary_object,Great Lakes University Museum,Unaffiliated,Textile drawer,2020-01-01
3006,Copper tinklers,unassociated_funerary_object,Great Lakes University Museum,Little Traverse Bay Bands of Odawa Indians,Drawer 7,2022-01-15
1002,Individual B,human_remains,Great Lakes University Museum,Little Traverse Bay Bands of Odawa Indians,"Room B12, Cab.4",1960-06-01
1011,Individual K,human_remains,Great Lakes University Museum,Grand Traverse Band of Ottawa and Chippewa Indians,Room D2,2015-03-03
4002,Prayer bundle,sacred_object,Great Lakes University Museum,Unaffiliated,Sacred storage,2023-05-10
4005,Feather fan,sacred_object,Islands Research Museum,Unaffiliated,Evidence cold,2021-04-04
1008,Individual H,human_remains,Islands Research Museum,Hui Mālama I Nā Kūpuna,Sacred storage,2005-05-05
2009,Bead cache,associated_funerary_object,National Park Service - Lakes Region,Unaffiliated,Vault 2,2018-08-08
5004,Council wampum strand,object_of_cultural_patrimony,National Park Service - Lakes Region,Grand Traverse Band of Ottawa and Chippewa Indians,Vault 6,2022-04-18
3004,Glass bead string,unassociated_funerary_object,National Park Service - Lakes Region,Keweenaw Bay Indian Community,Vault 4,2021-03-03
1005,Individual E,human_remains,National Park Service - Lakes Region,Unaffiliated,Secure shelf,1990-01-08
1009,Individual I,human_remains,National Park Service - Lakes Region,Unaffiliated,Vault 3,2010-08-12
4004,Pipe stem,sacred_object,National Park Service - Lakes Region,Unaffiliated,Vault 6,2022-09-09
2004,Red ochre packet,associated_funerary_object,National Park Service - Lakes Region,Unaffiliated,Vault 3,2010-08-12
2002,Ceramic vessel A,associated_funerary_object,Northern State Historical Museum,Unaffiliated,Exhibit 2,2000-07-07
3002,Ceramic vessel C,unassociated_funerary_object,Northern State Historical Museum,Unaffiliated,Secure box,2020-05-05
5002,Clan medallion,object_of_cultural_patrimony,Northern State Historical Museum,Unaffiliated,Exhibit 5,2022-02-20
1001,Individual A,human_remains,Northern State Historical Museum,Sault Ste. Marie Tribe of Chippewa Indians,Vault A,2000-01-01
1003,Individual C,human_remains,Northern State Historical Museum,Sault Ste. Marie Tribe of Chippewa Indians,Vault 1,1975-05-20
1007,Individual G,human_remains,Northern State Historical Museum,Unaffiliated,Exhibit 2,2001-07-07
1012,Individual L,human_remains,Northern State Historical Museum,Unaffiliated,Cabinet A1,2016-06-06
3007,Painted sherds,unassociated_funerary_object,Northern State Historical Museum,Unaffiliated,Exhibit 5,2022-02-20
2007,Vessel B,associated_funerary_object,Northern State Historical Museum,Unaffiliated,Cabinet A1,2016-06-06
4003,Drum,sacred_object,River Valley Archaeology Center,Office of Hawaiian Affairs,Music case,2021-02-02
1004,Individual D,human_remains,River Valley Archaeology Center,Bay Mills Indian Community,Cabinet C1,1981-10-10
3008,Polished stone,unassociated_funerary_object,River Valley Archaeology Center,Unaffiliated,Shelf B,2022-03-25
2003,Shell gorget,associated_funerary_object,River Valley Archaeology Center,Unaffiliated,Cabinet B2,2005-05-05
5003,Society regalia set,object_of_cultural_patrimony,River Valley Archaeology Center,Unaffiliated,Textiles shelf,2022-03-25
3003,Stone blade,unassociated_funerary_object,River Valley Archaeology Center,Unaffiliated,Case 3,2021-02-02
2008,Stone pipe,associated_funerary_object,River Valley Archaeology Center,Unaffiliated,Drawer P1,2017-07-07
2010,Birch bark fragment,associated_funerary_object,State Department of History,Unaffiliated,Cabinet X,2019-09-09
2005,Bone awl,associated_funerary_object,State Department of History,Unaffiliated,Evidence room,2012-02-02
5005,Ceremonial sash,object_of_cultural_patrimony,State Department of History,Unaffiliated,Textile drawer,2022-05-30
1010,Individual J,human_remains,State Department of History,Unaffiliated,Evidence room,2012-02-02
3005,Shell beads,unassociated_funerary_object,State Department of History,Unaffiliated,Evidence cold,2021-04-04
1006,Individual F,human_remains,Upper Peninsula University,Unaffiliated,Room D1,1999-04-04
